Date (MM/DD/YYYY),Entity Name,Latitude,Longitude,City,State,Sector,Demand,Currency,Demand in USD,Paid,Amount Paid
01/07/2020,Communications & Power Industries (CPI),37.4419,-122.1430,Palo Alto,CA,Defense/Manufacturing,Unknown,Bitcoin,Unknown,True,"$500,000"
01/09/2020,Richmond Community Schools,42.8084,-82.7574,Richmond,MI,Education,"$10,000",Bitcoin,"$10,000",False,null
01/10/2020,Pittsburg Unified School District,37.9483,-121.8844,Pittsburg,CA,Education,Unknown,Unknown,Unknown,False,null
01/17/2020,Town of Colonie,42.7173,-73.8237,Colonie,NY,Government,"$400,000",Bitcoin,"$400,000",False,null
01/17/2020,Electronic Warfare Associates (EWA),38.9585,-77.3583,Herndon,VA,Defense/Technology,Unknown,Unknown,Unknown,False,null
01/18/2020,Panama-Buena Vista School District,35.3733,-119.0187,Bakersfield,CA,Education,Unknown,Unknown,Unknown,False,null
01/22/2020,Tillamook County Government,45.4554,-123.8457,Tillamook,OR,Government,Unknown,Unknown,Unknown,True,"$300,000"
02/03/2020,ITI Technical College,30.4515,-91.1871,Baton Rouge,LA,Education,Unknown,Unknown,Unknown,False,null
02/11/2020,North Miami Beach Police Department,25.9331,-80.1739,North Miami Beach,FL,Government/Law Enforcement,Unknown,Unknown,Unknown,False,null
02/13/2020,Nacogdoches Independent School District,31.6035,-94.6552,Nacogdoches,TX,Education,Unknown,Unknown,Unknown,False,null
02/25/2020,Gadsden Independent School District,31.9690,-106.5861,Anthony,NM,Education,Unknown,Unknown,Unknown,False,null
02/27/2020,Jordan Health,43.1566,-77.6088,Rochester,NY,Healthcare,Unknown,Unknown,Unknown,False,null
02/29/2020,Epiq Global,38.8827,-94.6572,Kansas City,MO,Legal Services,Unknown,Unknown,Unknown,False,null
03/02/2020,La Salle County Government,41.3228,-88.8412,Ottawa,IL,Government,Unknown,Unknown,Unknown,False,null
03/05/2020,Visser Precision Manufacturing,39.7392,-104.9903,Denver,CO,Manufacturing,Unknown,Unknown,Unknown,False,null
03/09/2020,Durham City & County Government,35.9940,-78.8986,Durham,NC,Government,Unknown,Unknown,Unknown,False,null
03/10/2020,Champaign-Urbana Public Health District,40.1106,-88.2073,Champaign,IL,Government/Healthcare,Unknown,Unknown,Unknown,False,null
03/12/2020,Finastra,40.7589,-73.9851,New York,NY,Financial Technology,Unknown,Unknown,Unknown,False,null
03/25/2020,Bluffton Township Fire District,32.2371,-80.8604,Bluffton,SC,Government/Emergency Services,Unknown,Unknown,Unknown,False,null
04/11/2020,Magellan Health,33.4255,-111.9400,Scottsdale,AZ,Healthcare,Unknown,Unknown,Unknown,False,null
04/11/2020,Boyce Technologies,40.7448,-73.9463,Long Island City,NY,Manufacturing/Medical Devices,Unknown,Unknown,Unknown,False,null
04/14/2020,Threadstone Advisors,40.7580,-73.9855,New York,NY,Financial Services/M&A,Unknown,Unknown,Unknown,False,null
04/18/2020,City of Olean,42.0773,-78.4297,Olean,NY,Government,Unknown,Unknown,Unknown,False,null
04/20/2020,Cognizant Technology Solutions,40.8948,-74.0268,Teaneck,NJ,Technology/IT Services,Unknown,Unknown,Unknown,False,null
04/21/2020,Parkview Medical Center,38.2544,-104.6091,Pueblo,CO,Healthcare,Unknown,Unknown,Unknown,False,null
04/25/2020,Diebold Nixdorf,40.8756,-81.4104,North Canton,OH,Financial Technology,Unknown,Unknown,Unknown,False,null
04/26/2020,City of Torrance,33.8358,-118.3406,Torrance,CA,Government,100 BTC,Bitcoin,"$689,147",False,null
04/26/2020,CivicSmart,43.0389,-87.9065,Milwaukee,WI,Technology/Government Services,Unknown,Unknown,Unknown,False,null
04/27/2020,ExecuPharm,40.2732,-75.4324,Lansdale,PA,Pharmaceutical,Unknown,Unknown,Unknown,False,null
05/06/2020,Blackbaud,34.0007,-81.0348,Columbia,SC,Technology/Nonprofit SaaS,Unknown,Bitcoin,Unknown,True,Unknown
05/08/2020,Grubman Shire Meiselas & Sacks,40.7580,-73.9855,New York,NY,Legal Services,"$21,000,000",Unknown,"$21,000,000",False,null
05/12/2020,Texas Department of Transportation,30.2672,-97.7431,Austin,TX,Government/Transportation,Unknown,Unknown,Unknown,False,null
05/13/2020,Pitney Bowes,41.0534,-73.5387,Stamford,CT,Technology/Logistics,Unknown,Unknown,Unknown,False,null
05/18/2020,Michigan State University,42.7018,-84.4822,East Lansing,MI,Education,Unknown,Unknown,Unknown,False,null
05/18/2020,Texas Office of Court Administration,30.2672,-97.7431,Austin,TX,Government/Legal,Unknown,Unknown,Unknown,False,null
05/26/2020,Fresenius SE (US Operations),42.3751,-71.1056,Waltham,MA,Healthcare,Unknown,Unknown,Unknown,False,null
06/01/2020,UC San Francisco (UCSF),37.7632,-122.4581,San Francisco,CA,Education/Healthcare,"$3,000,000",Bitcoin,"$3,000,000",True,"$1,140,000"
06/05/2020,City of Florence,34.7990,-87.6772,Florence,AL,Government,39 BTC,Bitcoin,"$378,000",True,"$291,000"
06/10/2020,City of Keizer,44.9901,-123.0151,Keizer,OR,Government,"$48,000",Unknown,"$48,000",True,"$48,000"
06/11/2020,City of Knoxville,35.9606,-83.9207,Knoxville,TN,Government,Unknown,Unknown,Unknown,False,null
